sep=,
DeviceTag:,285
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
StartTime: ,2025-07-03_12:11:58_000 PDT
© Movella Technologies B. V. 2005-2025

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
26,3473445536,-80.63907623291016,78.23756408691406,-47.11351394653320,-9.52072715759277,-1.97911369800568,0.42186552286148,-5.18247699737549,0.17111589014530,-0.97513383626938
27,3473453869,-80.63296508789062,78.22488403320312,-47.10939788818359,-9.52228069305420,-1.98531603813171,0.45485872030258,-5.13652515411377,0.10500556230545,-0.92513507604599
28,3473462202,-80.68311309814453,78.21830749511719,-47.11928176879883,-9.51840496063232,-1.97473859786987,0.41336575150490,-4.85948181152344,0.11217755079269,-0.81850290298462
29,3473470535,-80.65396118164062,78.20552062988281,-47.09049987792969,-9.49067592620850,-1.98448979854584,0.38235315680504,-4.66581249237061,-0.04518350958824,-0.79762727022171
30,3473478868,-80.69881439208984,78.19780731201172,-47.09706115722656,-9.50147151947021,-1.96579802036285,0.37975391745567,-4.61179208755493,0.00925954524428,-0.93953019380569
31,3473487201,-80.68437957763672,78.18482208251953,-47.09385299682617,-9.51774787902832,-1.95066058635712,0.43546530604362,-4.54834556579590,0.30187657475471,-0.86985951662064
32,3473495534,-80.73911285400391,78.17752075195312,-47.11228179931641,-9.53217887878418,-1.94820010662079,0.41918295621872,-4.40572547912598,0.30633348226547,-0.93702000379562
33,3473503867,-80.72135162353516,78.16577148437500,-47.10524749755859,-9.53380775451660,-1.93625211715698,0.39595302939415,-4.41714954376221,0.26399314403534,-0.84583336114883
34,3473512200,-80.77486419677734,78.15953063964844,-47.12134170532227,-9.52820014953613,-1.91057765483856,0.40982723236084,-4.53036403656006,0.27131882309914,-0.80144381523132
35,3473520533,-80.75684356689453,78.14832305908203,-47.10939788818359,-9.50413990020752,-1.92155671119690,0.42261758446693,-4.55976963043213,0.20613056421280,-0.93691754341125
36,3473528866,-80.81118774414062,78.14143371582031,-47.12592315673828,-9.48201274871826,-1.90156030654907,0.43817394971848,-4.58284759521484,0.27078089118004,-0.88179576396942
37,3473537199,-80.79376983642578,78.13173675537109,-47.12461471557617,-9.47993755340576,-1.90215992927551,0.40731918811798,-4.67295885086060,0.21796435117722,-0.97118943929672
38,3473545532,-80.84635925292969,78.12474060058594,-47.13750457763672,-9.49244976043701,-1.92287492752075,0.43077877163887,-4.79913473129272,0.18000404536724,-0.87347108125687
39,3473553865,-80.83449554443359,78.11726379394531,-47.10977935791016,-9.49587726593018,-1.92064392566681,0.42172196507454,-4.97328567504883,0.33965757489204,-0.92984789609909
40,3473562198,-80.89796447753906,78.10985565185547,-47.13323593139648,-9.51030158996582,-1.92356884479523,0.40712144970894,-4.86201763153076,0.43238112330437,-0.96929395198822
41,3473570531,-80.89453887939453,78.10169982910156,-47.12390136718750,-9.53025531768799,-1.89667308330536,0.36560913920403,-5.00320243835449,0.52497649192810,-1.12674450874329
42,3473578864,-80.96390533447266,78.09343719482422,-47.15172576904297,-9.53735351562500,-1.89168381690979,0.37840381264687,-5.05901622772217,0.52574497461319,-1.08576178550720
43,3473587197,-80.96201324462891,78.08633422851562,-47.14973449707031,-9.55178260803223,-1.88389253616333,0.41144031286240,-4.92610406875610,0.47584846615791,-1.12108385562897
44,3473595530,-81.02628326416016,78.07828521728516,-47.17419815063477,-9.53139591217041,-1.88530004024506,0.40599578619003,-4.84741735458374,0.44846686720848,-1.04775023460388
45,3473603863,-81.01950073242188,78.07225036621094,-47.16495132446289,-9.52743721008301,-1.88019537925720,0.36396077275276,-5.02077388763428,0.27088332176208,-1.12984383106232
46,3473612196,-81.07658386230469,78.06320190429688,-47.18051147460938,-9.50527191162109,-1.86445724964142,0.38493862748146,-5.02553892135620,0.21345621347427,-1.12933158874512
47,3473620529,-81.06911468505859,78.05799865722656,-47.16343307495117,-9.51785469055176,-1.86175322532654,0.40735265612602,-5.24510383605957,0.12956959009171,-1.14580154418945
48,3473628862,-81.12310028076172,78.04817962646484,-47.17440795898438,-9.50457191467285,-1.88896238803864,0.39746034145355,-5.19413137435913,0.08833068609238,-1.20891499519348
49,3473637195,-81.11702728271484,78.04427337646484,-47.17276763916016,-9.50622749328613,-1.86893939971924,0.39864364266396,-5.41400480270386,0.10049745440483,-1.11037719249725
50,3473645528,-81.17604064941406,78.03553771972656,-47.18582153320312,-9.51873016357422,-1.87303793430328,0.40226140618324,-5.55360174179077,0.16194599866867,-1.08950150012970
51,3473653861,-81.17864227294922,78.03239440917969,-47.18331909179688,-9.51295566558838,-1.87694537639618,0.40773352980614,-5.66863489151001,0.23092512786388,-1.11104297637939
52,3473662194,-81.24235534667969,78.02346801757812,-47.20009231567383,-9.52346134185791,-1.91284203529358,0.42822250723839,-5.68349123001099,0.25075057148933,-1.12052035331726
53,3473670527,-81.24287414550781,78.02157592773438,-47.20220947265625,-9.53235054016113,-1.90836501121521,0.40646132826805,-5.73577022552490,0.15659260749817,-1.02093219757080
54,3473678860,-81.30307769775391,78.01335906982422,-47.21473693847656,-9.51921749114990,-1.91791605949402,0.41714483499527,-5.76043653488159,0.16163863241673,-1.02905189990997
55,3473687193,-81.30121612548828,78.01081085205078,-47.19464111328125,-9.50615310668945,-1.91174089908600,0.40291076898575,-5.74376249313354,0.07111793011427,-1.08517277240753
56,3473695526,-81.35668182373047,78.00191497802734,-47.20270538330078,-9.50941085815430,-1.93041229248047,0.40779203176498,-5.71909570693970,0.04007346928120,-1.08594119548798
57,3473703859,-81.35241699218750,77.99908447265625,-47.21000671386719,-9.51111698150635,-1.90729224681854,0.42016664147377,-5.68295335769653,-0.00366283534095,-1.10330760478973
58,3473712192,-81.40889739990234,77.98944854736328,-47.21836090087891,-9.49048423767090,-1.93419110774994,0.40823283791542,-5.80933380126953,0.03543729707599,-1.17956113815308
59,3473720525,-81.40972900390625,77.98517608642578,-47.21542358398438,-9.51594448089600,-1.91435265541077,0.40577781200409,-5.91102361679077,0.03397728502750,-1.26982593536377
60,3473728858,-81.47259521484375,77.97567749023438,-47.23017501831055,-9.53580379486084,-1.90953874588013,0.40979081392288,-5.82480525970459,0.19785715639591,-1.18701493740082
61,3473737191,-81.47425079345703,77.97149658203125,-47.22788238525391,-9.52238655090332,-1.94335174560547,0.38623490929604,-5.83904695510864,0.04491456225514,-1.23678338527679
62,3473745524,-81.52562713623047,77.96209716796875,-47.22984695434570,-9.53867530822754,-1.93239104747772,0.41644832491875,-5.94188833236694,-0.11411142349243,-1.12449049949646
63,3473753857,-81.52559661865234,77.95794677734375,-47.22811889648438,-9.52373504638672,-1.93034219741821,0.44252640008926,-5.98474073410034,-0.06283172219992,-1.21175825595856
64,3473762190,-81.57997894287109,77.94811248779297,-47.23260116577148,-9.52148723602295,-1.93861067295074,0.42043340206146,-6.01107168197632,-0.05870782583952,-1.18540108203888
65,3473770523,-81.57849884033203,77.94377136230469,-47.22320556640625,-9.50116920471191,-1.92317235469818,0.43816682696342,-6.04534435272217,-0.11201107501984,-1.22133815288544
66,3473778856,-81.63365936279297,77.93271636962891,-47.22789001464844,-9.50088691711426,-1.91849231719971,0.44615831971169,-6.08653211593628,-0.07630482316017,-1.33355414867401
67,3473787189,-81.63757324218750,77.92665863037109,-47.21945571899414,-9.51495933532715,-1.93790233135223,0.41968363523483,-5.96722126007080,0.01018165983260,-1.41802978515625
68,3473795522,-81.69419860839844,77.91492462158203,-47.22548675537109,-9.51847362518311,-1.91566359996796,0.43778634071350,-6.09985113143921,-0.05104917287827,-1.41979706287384
69,3473803855,-81.69799804687500,77.90887451171875,-47.21302795410156,-9.51254844665527,-1.91566956043243,0.39588689804077,-6.00507783889771,-0.00007684270531,-1.40847563743591
70,3473812188,-81.75104522705078,77.89716339111328,-47.21550750732422,-9.50098228454590,-1.93836998939514,0.40047517418861,-6.09142398834229,-0.13672879338264,-1.40432608127594
71,3473820521,-81.75507354736328,77.89019775390625,-47.21183776855469,-9.50252914428711,-1.92796266078949,0.39962661266327,-6.05581998825073,-0.03824205324054,-1.51295602321625
72,3473828854,-81.81478881835938,77.87839508056641,-47.22277450561523,-9.50949859619141,-1.92001855373383,0.37649175524712,-5.89906120300293,0.07357688993216,-1.44226086139679
73,3473837187,-81.81995391845703,77.87153625488281,-47.22085952758789,-9.51452064514160,-1.93064296245575,0.38895472884178,-5.86430215835571,0.00513565447181,-1.50504136085510
74,3473845520,-81.88051605224609,77.85820770263672,-47.23220062255859,-9.50127983093262,-1.93490707874298,0.41837316751480,-5.95320940017700,0.06248593330383,-1.62468528747559
75,3473853853,-81.89311218261719,77.84970855712891,-47.23694229125977,-9.50460529327393,-1.92320430278778,0.39180028438568,-5.97313785552979,0.10464697331190,-1.71692252159119
76,3473862186,-81.94631195068359,77.83575439453125,-47.24042892456055,-9.51327991485596,-1.92920589447021,0.41196349263191,-5.98999166488647,-0.14277376234531,-1.67555558681488
77,3473870519,-81.95420074462891,77.82691192626953,-47.23399353027344,-9.50744915008545,-1.91494596004486,0.37667199969292,-6.08886241912842,-0.06467594951391,-1.72396624088287
78,3473878852,-82.00438690185547,77.81188964843750,-47.23408508300781,-9.49047183990479,-1.92175400257111,0.41162544488907,-6.03545808792114,-0.24256683886051,-1.79207479953766
79,3473887185,-82.00810241699219,77.80329132080078,-47.22520828247070,-9.50457954406738,-1.92736411094666,0.39534786343575,-6.07853984832764,-0.19231167435646,-1.68216371536255
80,3473895518,-82.06094360351562,77.79048156738281,-47.22794723510742,-9.49488067626953,-1.93950557708740,0.42809545993805,-6.04129743576050,-0.13770215213299,-1.54256618022919
81,3473903851,-82.07328033447266,77.78323364257812,-47.23019790649414,-9.50339508056641,-1.95856082439423,0.42533105611801,-6.07521009445190,0.03661554679275,-1.56295514106750
82,3473912184,-82.13332366943359,77.77014923095703,-47.24102020263672,-9.49176597595215,-1.97823190689087,0.43335905671120,-5.96066379547119,0.06307505816221,-1.59643304347992
83,3473920517,-82.14760589599609,77.76313781738281,-47.24321746826172,-9.50821495056152,-1.94551956653595,0.42293524742126,-5.90869235992432,0.12631662189960,-1.51879620552063
84,3473928850,-82.20852661132812,77.75012969970703,-47.25631713867188,-9.50222778320312,-1.95446217060089,0.41158899664879,-5.79716730117798,0.12685449421406,-1.60731887817383
85,3473937183,-82.21828460693359,77.74279022216797,-47.25645446777344,-9.51066303253174,-1.97995448112488,0.42101380228996,-5.76883745193481,0.03397728130221,-1.52696704864502
86,3473945516,-82.27246093750000,77.72982788085938,-47.26351165771484,-9.50480651855469,-1.97468447685242,0.41439026594162,-5.70293283462524,-0.02261736989021,-1.58313906192780
87,3473953849,-82.27709197998047,77.72094726562500,-47.25676345825195,-9.48795127868652,-1.96854031085968,0.39697819948196,-5.72693300247192,-0.12087357789278,-1.68188202381134
88,3473962182,-82.33009338378906,77.70619201660156,-47.26207733154297,-9.49281024932861,-1.98456740379333,0.42573347687721,-5.75995016098022,-0.09423477202654,-1.78756618499756
89,3473970515,-82.33716583251953,77.69699859619141,-47.25868225097656,-9.51576519012451,-2.01017260551453,0.40593191981316,-5.78966236114502,-0.08767753094435,-1.70531904697418
90,3473978848,-82.38859558105469,77.68161773681641,-47.26279067993164,-9.49301433563232,-2.03189706802368,0.41581207513809,-5.71558570861816,-0.13060697913170,-1.85787725448608
91,3473987181,-82.39401245117188,77.67059326171875,-47.25454711914062,-9.48159217834473,-2.02629566192627,0.42414432764053,-5.59755563735962,-0.12663677334785,-1.89706718921661
92,3473995514,-82.44961547851562,77.65679931640625,-47.26419448852539,-9.48290061950684,-2.02394413948059,0.37886533141136,-5.57432365417480,0.03769134730101,-1.68731224536896
93,3474003847,-82.45951080322266,77.64848327636719,-47.26342773437500,-9.47688198089600,-2.03310608863831,0.41520020365715,-5.51223468780518,0.04775774478912,-1.55565512180328
94,3474012180,-82.51302337646484,77.63610076904297,-47.27027130126953,-9.50606727600098,-2.01462197303772,0.42254340648651,-5.64970636367798,-0.00916989706457,-1.51036906242371
95,3474020513,-82.52030181884766,77.62844085693359,-47.26589965820312,-9.49641227722168,-2.01876568794250,0.39875856041908,-5.66261529922485,-0.05676114559174,-1.43027317523956
96,3474028846,-82.57254028320312,77.61669921875000,-47.27116775512695,-9.49453544616699,-1.99804711341858,0.40819644927979,-5.68090391159058,-0.03568062931299,-1.42781436443329
